Compilation: Success

Result: 81/ 100
Details:
Testcase 001: Passed
Testcase 002: Passed
Testcase 003: Passed
Testcase 004: Passed
Testcase 005: Passed
Testcase 006: Passed
Testcase 007: Passed
Testcase 008: Passed
Testcase 009: Passed
Testcase 010: Passed
Testcase 011: Passed
Testcase 012: Passed
Testcase 013: Passed
Testcase 014: Passed
Testcase 015: Passed
Testcase 016: Passed
Testcase 017: Passed
Testcase 018: Passed
Testcase 019: Passed
Testcase 020: Passed
Testcase 021: Passed
Testcase 022: Passed
Testcase 023: Passed
Testcase 024: Passed
Testcase 025: Passed
Testcase 026: Passed
Testcase 027: Passed
Testcase 028: Passed
Testcase 029: Passed
Testcase 030: Passed
Testcase 031: Passed
Testcase 032: Passed
Testcase 033: Passed
Testcase 034: Passed
Testcase 035: Passed
Testcase 036: Passed
Testcase 037: Passed
Testcase 038: Passed
Testcase 039: Passed
Testcase 040: Passed
Testcase 041: Passed
Testcase 042: Passed
Testcase 043: Passed
Testcase 044: Passed
Testcase 045: Passed
Testcase 046: Passed
Testcase 047: Passed
Testcase 048: Passed
Testcase 049: Passed
Testcase 050: Passed
Testcase 051: Passed
Testcase 052: Failed
Testcase 053: Failed
Testcase 054: Passed
Testcase 055: Failed
Testcase 056: Failed
Testcase 057: Failed
Testcase 058: Passed
Testcase 059: Passed
Testcase 060: Failed
Testcase 061: Passed
Testcase 062: Passed
Testcase 063: Passed
Testcase 064: Passed
Testcase 065: Passed
Testcase 066: Passed
Testcase 067: Failed
Testcase 068: Passed
Testcase 069: Passed
Testcase 070: Passed
Testcase 071: Passed
Testcase 072: Passed
Testcase 073: Passed
Testcase 074: Passed
Testcase 075: Passed
Testcase 076: Passed
Testcase 077: Passed
Testcase 078: Passed
Testcase 079: Passed
Testcase 080: Passed
Testcase 081: Passed
Testcase 082: Passed
Testcase 083: Passed
Testcase 084: Passed
Testcase 085: Passed
Testcase 086: Failed
Testcase 087: Failed
Testcase 088: Failed
Testcase 089: Failed
Testcase 090: Failed
Testcase 091: Failed
Testcase 092: Failed
Testcase 093: Failed
Testcase 094: Failed
Testcase 095: Failed
Testcase 096: Passed
Testcase 097: Passed
Testcase 098: Passed
Testcase 099: Failed
Testcase 100: Failed
